=== Episode 1 ===
Initial: [  0.   0. -20.]
Goal: [-17.84715925 -11.18560509 -49.12206317]
Positions:
[  0.06972387   0.06320564 -19.92193471]
[  0.06447683   0.08378956 -19.89065845]
[  0.06645096   0.08553045 -19.89385103]
[  0.06972053   0.07854429 -19.92389116]
[  0.07011871   0.08056417 -19.95992849]
[  0.02513661   0.07516127 -19.98222979]
[  0.03106108   0.05257027 -20.0347282 ]
[ 2.33525717e-03  2.47869911e-02 -2.00705936e+01]
[-1.58424464e-02  6.63190323e-02 -2.01067946e+01]
[ -0.04574951   0.02648834 -20.15254118]
[-1.96811869e-02  2.66016376e-02 -2.02047042e+01]
[ -0.05725028   0.03950789 -20.30048888]
[ -0.06117586   0.03915322 -20.35097362]
[-1.22137843e-01  9.35893403e-03 -2.04048381e+01]
[ -0.10906666   0.02223379 -20.46690356]
[-1.31063520e-01  1.99088156e-02 -2.05181319e+01]
[-1.49140915e-01  2.78025880e-03 -2.05807864e+01]
[ -0.19218321   0.0238016  -20.62605464]
[-2.01248820e-01  1.10840585e-03 -2.06726799e+01]
[-2.37008922e-01  3.76367246e-03 -2.07285251e+01]
[-2.23768437e-01  1.66473246e-02 -2.08007892e+01]
[-2.68785127e-01  1.13086471e-02 -2.08601733e+01]
[-2.64017419e-01  3.63501626e-03 -2.09045793e+01]
[-2.64173076e-01 -7.05805821e-03 -2.10009049e+01]
[ -0.28711774  -0.04956426 -21.03828682]
[ -0.32030014  -0.05565011 -21.11832397]
[ -0.35244971  -0.05741926 -21.15330009]
[ -0.35140349  -0.09090876 -21.21963227]
[ -0.35062586  -0.12695724 -21.27227053]
[ -0.37292338  -0.12436069 -21.35278843]
[ -0.3863065   -0.15909616 -21.40976944]
[ -0.44148344  -0.17554908 -21.47298787]
[ -0.47254378  -0.24966123 -21.50938981]
[ -0.48839619  -0.26574457 -21.55429065]
[ -0.51568827  -0.30308098 -21.61184885]
[ -0.58106781  -0.36440794 -21.66850395]
[ -0.65932361  -0.43127862 -21.752357  ]
[ -0.67798044  -0.49113974 -21.81707691]
[ -0.77130049  -0.52245303 -21.85674433]
[ -0.81853189  -0.58160849 -21.92104593]
[ -0.86907824  -0.61344571 -22.00585934]
[ -0.9519179   -0.69157657 -22.06968736]
[ -0.98346491  -0.73587795 -22.12451397]
[ -1.05100789  -0.7940884  -22.16544671]
[ -1.1492287   -0.84141414 -22.2409924 ]
[ -1.22507667  -0.86299166 -22.30181912]
[ -1.27563327  -0.89512852 -22.34799969]
[ -1.37682861  -0.95744741 -22.40732766]
[ -1.43435207  -1.0045652  -22.4864407 ]
[ -1.50678899  -1.05125377 -22.52629957]
[ -1.55847813  -1.07727807 -22.58579542]
[ -1.64853984  -1.11050753 -22.6708032 ]
[ -1.74386554  -1.11568184 -22.69419003]
[ -1.82778011  -1.16948422 -22.75196325]
[ -1.88099433  -1.17986328 -22.83242029]
[ -1.96675992  -1.22848053 -22.8704183 ]
[ -2.0097347   -1.21343897 -22.92076401]
[ -2.10226005  -1.22284066 -23.02609541]
[ -2.17418852  -1.26872596 -23.06947206]
[ -2.27464526  -1.29867183 -23.11435287]
[ -2.33481847  -1.28149394 -23.17648185]
[ -2.39736082  -1.29955315 -23.24244517]
[ -2.5076451   -1.30047789 -23.29239632]
[ -2.55876447  -1.28670802 -23.36563494]
[ -2.64730022  -1.30749866 -23.42141672]
[ -2.70401111  -1.28631399 -23.49930586]
[ -2.80134984  -1.26532065 -23.55475998]
[ -2.88288004  -1.28864455 -23.58794444]
[ -2.94840227  -1.26053266 -23.6557241 ]
[ -2.96885869  -1.261972   -23.71183493]
[ -3.05238362  -1.2730568  -23.79335953]
[ -3.10290654  -1.21716476 -23.82476349]
[ -3.15071369  -1.20229047 -23.90453106]
[ -3.22819883  -1.21365597 -23.96975206]
[ -3.27930121  -1.20173887 -24.0242046 ]
[ -3.31218686  -1.20648316 -24.05781843]
[ -3.35008333  -1.15437585 -24.14105515]
[ -3.42267304  -1.15817141 -24.20367866]
[ -3.43286703  -1.15133109 -24.24683663]
[ -3.45952803  -1.12158822 -24.31541873]
[ -3.52960136  -1.11799389 -24.35755256]
[ -3.53768047  -1.07281753 -24.44790386]
[ -3.60205955  -1.06252865 -24.48931957]
[ -3.60250506  -1.05499545 -24.54961634]
[ -3.61178327  -1.00374131 -24.63353329]
[ -3.65742771  -0.99298452 -24.68283842]
[ -3.68088466  -0.97942991 -24.70988871]
[ -3.69481299  -0.96379687 -24.81318032]
[ -3.70331891  -0.96432438 -24.87121051]
[ -3.73258832  -0.92362618 -24.89939862]
[ -3.72915073  -0.92583303 -24.99530016]
[ -3.74717843  -0.89254588 -25.04458221]
[ -3.73702295  -0.87935144 -25.1133492 ]
[ -3.74561693  -0.88271677 -25.16989559]
[ -3.76673996  -0.86883561 -25.20825097]
[ -3.77779807  -0.81790215 -25.26694169]
[ -3.76102726  -0.83096715 -25.33934408]
[ -3.76774582  -0.82435084 -25.39693775]
[ -3.74480608  -0.81282219 -25.4437561 ]
[ -3.7343185   -0.78283771 -25.51002229]
[ -3.73072792  -0.79351548 -25.58288196]
[ -3.69688738  -0.78981711 -25.64324279]
[ -3.71460669  -0.76686235 -25.69667384]
[ -3.69035115  -0.78667405 -25.72826245]
[ -3.68302001  -0.81012319 -25.81908311]
[ -3.66013454  -0.79434171 -25.85202146]
[ -3.65915916  -0.80821344 -25.91411354]
[ -3.61479692  -0.79409042 -25.98974036]
[ -3.58809765  -0.84071042 -26.06808774]
[ -3.58748518  -0.85416712 -26.11048809]
[ -3.57310545  -0.87885081 -26.1789719 ]
[ -3.55383046  -0.87349784 -26.24098857]
[ -3.52710876  -0.87476585 -26.29074536]
[ -3.52088262  -0.90491983 -26.34328529]
[ -3.49618411  -0.93265726 -26.41131617]
[ -3.48535414  -0.97466094 -26.47587647]
[ -3.49195592  -0.9889951  -26.49521249]
[ -3.49028553  -0.98653167 -26.55597698]
[ -3.46986972  -1.00427752 -26.61208371]
[ -3.44249575  -1.04965659 -26.70670408]
[ -3.44186224  -1.05166656 -26.74543403]
[ -3.45533495  -1.06913918 -26.78903876]
[ -3.42300603  -1.10293352 -26.86343237]
[ -3.41799931  -1.07929578 -26.9348363 ]
[ -3.42106439  -1.13539069 -26.97362727]
[ -3.39521988  -1.13616949 -27.01835038]
[ -3.41908305  -1.1332442  -27.11778149]
[ -3.38122171  -1.19510017 -27.13674923]
[ -3.39278831  -1.21307509 -27.22045358]
[ -3.40781613  -1.19481377 -27.28700518]
[ -3.38533787  -1.24296862 -27.31784196]
