=== Episode 1 ===
Initial: [  0.   0. -20.]
Goal: [-17.84715925 -11.18560509 -49.12206317]
Positions:
[  0.05950381   0.08209304 -19.94709705]
[  0.06417482   0.06033749 -19.91123343]
[  0.05168252   0.07940663 -19.94406404]
[  0.02725767   0.066941   -19.95726897]
[-1.92493748e-02  4.05343996e-02 -1.99653383e+01]
[ -0.11851747   0.02121759 -19.97445682]
[ -0.15492787   0.04466025 -20.01525764]
[-2.17442619e-01  1.85910180e-02 -2.00791755e+01]
[ -0.31325848   0.04544533 -20.12718055]
[-3.82429090e-01  1.72986979e-02 -2.01581533e+01]
[-4.54626971e-01  7.14843078e-03 -2.02145218e+01]
[ -0.57255468   0.03930148 -20.25482753]
[ -0.6466743    0.03481637 -20.30659811]
[ -0.75934172   0.06365484 -20.38841531]
[ -0.83754474   0.06837378 -20.46217392]
[ -0.8979327    0.06565215 -20.51598473]
[ -1.02114025   0.10345516 -20.56878211]
[ -1.09140327   0.09933821 -20.62101834]
[ -1.20233709   0.1052396  -20.63232467]
[ -1.28634339   0.16478842 -20.69728909]
[ -1.36253178   0.17720989 -20.76264711]
[ -1.4784343    0.20832525 -20.79703023]
[ -1.54214159   0.22522693 -20.88129499]
[ -1.62699529   0.23019674 -20.95231619]
[ -1.73452347   0.29378345 -20.99175904]
[ -1.79020746   0.31648826 -21.06316356]
[ -1.86843675   0.34519028 -21.1104478 ]
[ -1.97407164   0.34453509 -21.1724717 ]
[ -2.01590003   0.37927453 -21.19719946]
[ -2.09633702   0.40877536 -21.27459959]
[ -2.13106937   0.41439744 -21.31952263]
[ -2.23889017   0.4179551  -21.35563827]
[ -2.24183628   0.45488251 -21.39279719]
[ -2.29065615   0.46234592 -21.45889413]
[ -2.37799187   0.44246687 -21.51216691]
[ -2.46018851   0.46791133 -21.57943923]
[ -2.51111336   0.44132157 -21.62606119]
[ -2.54936368   0.4734527  -21.65890944]
[ -2.60650532   0.44311962 -21.71749953]
[ -2.6747322    0.42940879 -21.82368702]
[ -2.71674515   0.39811098 -21.88070171]
[ -2.7702033    0.36899156 -21.92329398]
[ -2.86443185   0.3116125  -21.97901313]
[ -2.93724946   0.30891182 -22.03033714]
[ -2.95556572   0.27323118 -22.12201412]
[ -3.04662112   0.20898211 -22.17012069]
[ -3.09709609   0.13589653 -22.2401404 ]
[ -3.11410682   0.11432241 -22.26570797]
[ -3.20810214   0.03719334 -22.36548456]
[-3.24699391e+00 -4.57539160e-03 -2.24160386e+01]
[ -3.30359225  -0.07895459 -22.45091111]
[ -3.34489797  -0.09940064 -22.54753554]
[ -3.42198746  -0.15804752 -22.56616182]
[ -3.475694    -0.22026279 -22.62703345]
[ -3.53608067  -0.30163697 -22.72027092]
[ -3.61273967  -0.35545556 -22.76271876]
[ -3.64255552  -0.41557572 -22.79140096]
[ -3.69111654  -0.45437092 -22.86190567]
[ -3.759999    -0.52733191 -22.93416444]
[ -3.84656974  -0.5714429  -23.00324234]
[ -3.87619674  -0.62992135 -23.03343069]
[ -3.94608168  -0.68808411 -23.0924247 ]
[ -4.03384339  -0.74078867 -23.15309101]
[ -4.08061065  -0.78659315 -23.20270227]
[ -4.14578576  -0.83736146 -23.28299256]
[ -4.18593473  -0.89674159 -23.32481487]
[ -4.24485174  -0.93089598 -23.34190852]
[ -4.32692041  -0.98105874 -23.42489594]
[ -4.38114039  -1.06717934 -23.48509756]
[ -4.4542294   -1.13015172 -23.55462688]
[ -4.55320603  -1.17427067 -23.56951282]
[ -4.58554548  -1.20909257 -23.61463714]
[ -4.67836066  -1.2728217  -23.70396778]
[ -4.71727165  -1.30263671 -23.74721987]
[ -4.79527982  -1.367196   -23.8096955 ]
[ -4.88393612  -1.38897544 -23.87162495]
[ -4.94641375  -1.42529709 -23.89331099]
[ -4.9905061   -1.47129821 -23.93986638]
[ -5.06952898  -1.55401648 -24.01406883]
[ -5.14472937  -1.59572953 -24.06395354]
[ -5.21808573  -1.61570002 -24.10934534]
[ -5.2647997   -1.65960586 -24.19518123]
[ -5.37700207  -1.72128634 -24.24483322]
[ -5.42000133  -1.75284656 -24.26526814]
[ -5.51001868  -1.76217239 -24.35305275]
[ -5.57518121  -1.82177248 -24.38960488]
[ -5.66856991  -1.88555161 -24.47819677]
[ -5.72115611  -1.88460939 -24.49889125]
[ -5.79781026  -1.95939832 -24.5603801 ]
[ -5.87145178  -1.95422128 -24.60705091]
[ -5.9321469   -2.00744673 -24.68416128]
[ -5.99255143  -2.02064151 -24.73882166]
[ -6.0738481   -2.06777771 -24.76917063]
[ -6.16776379  -2.08191304 -24.84325902]
[ -6.241537    -2.12277536 -24.89324727]
[ -6.30272115  -2.15272853 -24.9587518 ]
[ -6.37739993  -2.22222633 -25.00817019]
[ -6.4559948   -2.24769823 -25.04715332]
[ -6.49334041  -2.27851415 -25.09320285]
[ -6.56898645  -2.27690849 -25.17450519]
[ -6.67700334  -2.32321502 -25.2399099 ]
[ -6.76456779  -2.34845212 -25.25559147]
[ -6.8215298   -2.3723755  -25.30118411]
[ -6.91061689  -2.37324597 -25.38308623]
[ -6.95319249  -2.43998089 -25.43860571]
[ -7.0219684   -2.43376044 -25.50481163]
[ -7.10534421  -2.47581355 -25.56165785]
[ -7.16031603  -2.49063804 -25.59200165]
[ -7.25403104  -2.51369622 -25.66682828]
[ -7.34700747  -2.5504217  -25.71941165]
[ -7.39691122  -2.57426321 -25.76567396]
[ -7.45695787  -2.61529015 -25.83129609]
[ -7.55521455  -2.62896564 -25.86487116]
[ -7.61094283  -2.67786519 -25.90609523]
[ -7.66519219  -2.67478091 -25.94243545]
[ -7.76892567  -2.72553482 -26.04552615]
[ -7.83620189  -2.74473848 -26.07808345]
[ -7.90674984  -2.76286623 -26.13165537]
[ -7.96970404  -2.79483289 -26.1660401 ]
[ -8.02358986  -2.80935785 -26.21973711]
[ -8.10259104  -2.84774635 -26.29433275]
[ -8.15991495  -2.90136498 -26.32294147]
[ -8.22785319  -2.92246357 -26.37344082]
[ -8.27961284  -2.9278143  -26.42992812]
[ -8.35504309  -2.98421632 -26.48545681]
[ -8.44703024  -2.98994015 -26.53849254]
[ -8.49621522  -3.02695623 -26.57847421]
[ -8.55577342  -3.08034466 -26.6116158 ]
[ -8.62176415  -3.13374932 -26.66434069]
[ -8.66835158  -3.16157298 -26.71130348]
[ -8.77138708  -3.18919925 -26.77170553]
[ -8.81903422  -3.22965818 -26.84114179]
[ -8.88618059  -3.26927525 -26.85151548]
[ -8.94682472  -3.29599163 -26.94319397]
[ -9.0294875   -3.3462093  -26.95530783]
[ -9.06506667  -3.35503915 -27.02198156]
[ -9.12066083  -3.40953068 -27.0646394 ]
[ -9.22223618  -3.47301073 -27.09603027]
[ -9.24990931  -3.46634379 -27.16225815]
[ -9.33257222  -3.52894314 -27.20544092]
[ -9.38603734  -3.58338618 -27.25916954]
[ -9.47856455  -3.62225996 -27.28135562]
[ -9.51137087  -3.65361766 -27.33832453]
[ -9.60127699  -3.67713688 -27.39344107]
[ -9.6465409   -3.72467452 -27.44478765]
[ -9.72601636  -3.76414614 -27.48844265]
[ -9.76733673  -3.83259427 -27.55386316]
[ -9.85370992  -3.86625429 -27.57497163]
[ -9.92319744  -3.91959581 -27.62145146]
[ -9.96243801  -3.98253137 -27.67796515]
[-10.0578133   -4.00421802 -27.7254289 ]
[-10.07661842  -4.08409538 -27.75167599]
[-10.15675608  -4.11418951 -27.81342557]
[-10.24085377  -4.17912682 -27.85252297]
[-10.2795      -4.2231365  -27.92160517]
[-10.33289897  -4.3059761  -27.95105428]
[-10.39500055  -4.35494467 -28.0038498 ]
[-10.42901502  -4.39429146 -28.05765631]
[-10.48489848  -4.4810606  -28.10501023]
[-10.56466311  -4.53325534 -28.13069721]
[-10.58578311  -4.55932133 -28.19473867]
[-10.67920463  -4.64648814 -28.22902471]
[-10.69558775  -4.69684059 -28.3099537 ]
[-10.76119639  -4.75585325 -28.34502276]
[-10.81879888  -4.84852501 -28.37202951]
[-10.88768329  -4.90647881 -28.43250843]
[-10.92625992  -4.94190359 -28.4937626 ]
[-10.97770547  -4.99911872 -28.53328681]
[-11.03618577  -5.08043372 -28.56892929]
[-11.06716915  -5.1410316  -28.59672235]
[-11.14392447  -5.193105   -28.67664726]
[-11.15388406  -5.28850642 -28.69082213]
[-11.24225684  -5.3260405  -28.73834004]
[-11.25696815  -5.38191042 -28.81601163]
[-11.3349315   -5.45063655 -28.86211963]
[-11.38190023  -5.54122384 -28.89170508]
[-11.38666759  -5.58183808 -28.94183807]
[-11.43489732  -5.66699388 -28.9860997 ]
[-11.50007186  -5.72369484 -29.05625284]
[-11.52286236  -5.79871517 -29.09323511]
[-11.56338126  -5.86973514 -29.10723215]
[-11.60555369  -5.959396   -29.19102477]
[-11.66299469  -6.00996286 -29.22860739]
[-11.70618121  -6.0645174  -29.27785145]
[-11.77063702  -6.1602832  -29.33412861]
[-11.79812439  -6.23286691 -29.34979388]
[-11.82953618  -6.30603875 -29.41750838]
[-11.84988887  -6.3808967  -29.47644302]
[-11.88685482  -6.4175256  -29.5065079 ]
[-11.92943533  -6.50965078 -29.56634304]
[-11.94468142  -6.56041806 -29.61491244]
[-11.98018145  -6.61149978 -29.62233293]
[-12.05418253  -6.71246988 -29.69414958]
[-12.06833264  -6.78299627 -29.71771719]
[-12.09295918  -6.85355837 -29.79329438]
[-12.10352562  -6.9097048  -29.83741885]
[-12.17615254  -6.98207904 -29.87354104]
[-12.17103506  -7.0420117  -29.91108597]
[-12.19967912  -7.10681145 -29.98650299]
[-12.2421838   -7.17155426 -30.00295703]
[-12.29669767  -7.22945481 -30.06438657]
[-12.29859392  -7.31582877 -30.1042925 ]
[-12.34434139  -7.35123758 -30.16148236]
[-12.34932346  -7.41169909 -30.24267896]
[-12.40992331  -7.47392381 -30.2923521 ]
[-12.42804881  -7.54172597 -30.2846143 ]
[-12.47615678  -7.62297206 -30.35934719]
[-12.49316625  -7.68933949 -30.41476002]
[-12.52790712  -7.73641568 -30.47217335]
[-12.55175789  -7.82002477 -30.52984535]
[-12.55115264  -7.8386024  -30.53981376]
[-12.59074494  -7.91403244 -30.5967629 ]
[-12.61185016  -8.00083802 -30.65223757]
[-12.66294787  -8.04394059 -30.69592281]
[-12.69359067  -8.10166347 -30.77817835]
[-12.73096473  -8.14266031 -30.82050277]
[-12.74970821  -8.1920246  -30.88680985]
[-12.758559    -8.26262499 -30.92659491]
[-12.78857888  -8.33143719 -30.98979811]
[-12.80371284  -8.36016573 -31.00213622]
[-12.7822283   -8.40868425 -31.06600608]
[-12.80437129  -8.45039187 -31.10308773]
[-12.84668493  -8.46972204 -31.13685635]
[-12.84551818  -8.55806953 -31.19441582]
[-12.90584507  -8.57619429 -31.26090917]
[-12.94095151  -8.65986917 -31.31924486]
[-12.92016846  -8.70277795 -31.34833648]
[-12.95573404  -8.71468022 -31.44108902]
[-12.98406773  -8.77535564 -31.45313199]
[-13.02692816  -8.82289904 -31.53085904]
[-13.05879667  -8.88016787 -31.57121763]
[-13.06896794  -8.87750532 -31.66540708]
[-13.12194892  -8.91966271 -31.67352011]
[-13.14789014  -8.98378974 -31.77007014]
[-13.14584022  -9.01597341 -31.79418829]
[-13.18289774  -9.02707072 -31.8788773 ]
[-13.22447458  -9.06733116 -31.94348651]
[-13.25344912  -9.12779159 -31.9648372 ]
[-13.28972944  -9.14358822 -32.03180345]
[-13.29930111  -9.19461161 -32.10432128]
[-13.33668451  -9.19810205 -32.14280897]
[-13.37284336  -9.23270838 -32.22184694]
[-13.40623959  -9.25581123 -32.29536889]
[-13.43203337  -9.25130421 -32.32147883]
[-13.50692199  -9.26470192 -32.40895217]
[-13.50347587  -9.32369142 -32.46218962]
[-13.56031726  -9.32181357 -32.52536327]
[-13.56413906  -9.31892327 -32.59758093]
[-13.61976647  -9.32932782 -32.64595236]
[-13.6772307   -9.36564205 -32.66985128]
[-13.67151401  -9.3495981  -32.74082285]
[-13.7390338   -9.38019537 -32.81311234]
[-13.76300876  -9.37656296 -32.89240696]
[-13.77609537  -9.36023913 -32.95787104]
[-13.81874405  -9.34878738 -33.00284425]
[-13.87142047  -9.37143655 -33.0347247 ]
[-13.9214766   -9.36966574 -33.11760101]
[-13.96468278  -9.35830025 -33.18114262]
[-13.98989943  -9.37766912 -33.22913218]
[-14.02051813  -9.35752403 -33.30177296]
[-14.06944005  -9.36388373 -33.36547419]
[-14.09954988  -9.32004936 -33.41555327]
[-14.14631899  -9.31571387 -33.47392779]
[-14.20127357  -9.31535561 -33.5470922 ]
[-14.24411622  -9.28038257 -33.58176184]
[-14.2803148   -9.27110388 -33.65515728]
[-14.30911521  -9.26540872 -33.71528569]
[-14.35269192  -9.2468323  -33.7941633 ]
[-14.36397241  -9.2777036  -33.8401083 ]
[-14.44559008  -9.23404278 -33.90345638]
[-14.47494123  -9.24802198 -33.96914035]
[-14.52453708  -9.2166015  -34.00429262]
[-14.53796742  -9.18419146 -34.06744708]
[-14.58289219  -9.20176094 -34.17268463]
[-14.61612269  -9.17893586 -34.19377013]
[-14.66090755  -9.14613515 -34.24914123]
[-14.70996959  -9.16264849 -34.3233639 ]
[-14.73804448  -9.1222442  -34.3629114 ]
[-14.75532378  -9.11656394 -34.42292269]
[-14.81506704  -9.14144973 -34.52579266]
[-14.82142269  -9.1184092  -34.57124711]
[-14.851598    -9.10883324 -34.61519922]
[-14.87582931  -9.09902466 -34.69859863]
[-14.93094803  -9.09409316 -34.74296779]
[-14.93509104  -9.12027941 -34.82256728]
[-14.97472882  -9.11431048 -34.8536767 ]
[-15.00792047  -9.13157681 -34.89700096]
[-15.02331205  -9.13616842 -34.97567366]
[-15.04129914  -9.13418747 -35.04722942]
[-15.09476101  -9.17500469 -35.08816573]
[-15.09799427  -9.14863087 -35.16448592]
[-15.11915967  -9.20667254 -35.18644153]
[-15.12863773  -9.2099612  -35.2848457 ]
[-15.1429351   -9.20839746 -35.32369643]
[-15.15980272  -9.25371434 -35.40930598]
[-15.19662011  -9.27893763 -35.42505697]
[-15.181911    -9.28600155 -35.46538423]
